,Duration,Start station number,End station number,Bike number,Member type
0,1012,31208,31108,614,1
1,61,31209,31209,41,1
2,2690,31600,31100,836,1
3,1406,31600,31602,282,1
4,1413,31100,31201,734,1
5,982,31109,31200,708,1
6,930,31109,31105,664,1
7,1659,31111,31208,918,1
8,2496,31600,31601,672,1
9,1487,31703,31603,663,1
10,1007,31500,31200,216,1
11,1159,31603,31603,863,1
12,88,31602,31602,384,1
13,202,31105,31103,565,1
14,1407,31101,31100,778,1
15,351,31103,31104,565,1
16,416,31105,31207,388,1
17,2988,31206,31603,801,1
18,636,31002,31003,901,1
19,509,31205,31200,684,1
20,638,31201,31200,734,1
21,763,31602,31109,869,1
22,387,31009,31009,681,1
23,1409,31600,31100,693,1
24,1254,31002,31012,950,1
25,1238,31002,31012,874,1
26,277,31106,31104,656,1
27,1532,31200,31600,734,1
28,759,31104,31202,656,1
29,433,31011,31011,632,1
30,329,31100,31206,724,1
31,775,31200,31602,639,1
32,3044,31100,31200,836,0
33,1438,31000,31002,467,0
34,597,31202,31200,656,1
35,1492,31603,31500,935,1
36,956,31101,31204,896,1
37,1185,31212,31212,904,1
38,127,31603,31603,7,1
39,1207,31206,31209,724,1
40,2228,31104,31209,565,1
41,3820,31200,31206,823,0
42,1168,31100,31600,778,1
43,566,31101,31207,806,1
44,631,31111,31200,804,1
45,604,31100,31203,460,0
46,1488,31208,31600,918,1
47,7275,31100,31103,822,1
48,1959,31200,31108,216,0
49,310,31100,31100,141,1
50,407,31111,31201,528,1
51,1145,31003,31009,842,0
52,730,31600,31202,918,1
53,907,31100,31200,700,1
54,1406,31600,31107,734,1
55,381,31200,31201,617,1
56,548,31200,31111,708,1
57,557,31009,31002,913,0
58,855,31111,31104,9,1
59,1733,31802,31600,762,1
60,4954,31200,31200,263,0
61,1283,31603,31600,689,1
62,385,31101,31105,674,1
63,635,31200,31111,804,1
64,4839,31200,31200,836,0
65,466,31200,31201,684,1
66,892,31201,31600,943,0
67,451,31111,31201,708,1
68,315,31109,31111,466,1
69,1796,31208,31204,351,1
70,474,31111,31201,889,1
71,1037,31602,31400,754,1
72,729,31600,31202,689,1
73,466,31100,31201,814,1
74,1440,31104,31205,9,1
75,507,31108,31208,849,1
76,1811,31203,31203,460,1
77,959,31208,31208,686,1
78,1576,31603,31105,278,1
79,462,31200,31100,700,1
80,413,31108,31208,864,1
81,626,31201,31111,814,1
82,595,31111,31600,804,1
83,1382,31204,31600,896,1
84,220,31106,31104,690,1
85,1159,31600,31200,943,0
86,1241,31602,31100,282,1
87,375,31109,31207,168,1
88,940,31202,31202,416,1
89,419,31009,31004,681,1
90,893,31100,31600,311,1
91,142,31201,31203,889,1
92,1879,31201,31207,708,1
93,2060,31103,31103,822,1
94,2550,31205,31205,619,1
95,945,31205,31202,128,1
96,1864,31203,31111,889,1
97,415,31200,31104,656,1
98,534,31201,31111,641,1
99,1864,31201,31209,684,1
100,1834,31201,31209,528,1
101,500,31201,31110,617,1
102,1640,31205,31006,9,1
103,868,31202,31111,501,1
104,400,31106,31103,655,1
105,245,31203,31201,240,1
106,583,31200,31101,263,1
107,199,31011,31009,608,1
108,194,31011,31009,632,1
109,1455,31600,31111,804,1
110,638,31100,31110,282,1
111,259,31104,31110,656,1
112,521,31600,31201,778,1
113,169,31203,31202,460,1
114,7554,31105,31105,897,0
115,7512,31105,31105,664,0
116,793,31200,31111,836,1
117,132,31201,31203,240,1
118,235,31201,31202,778,1
119,375,31011,31003,857,1
120,768,31108,31208,727,1
121,849,31001,31001,628,1
122,509,31110,31104,282,1
123,486,31110,31104,656,1
124,692,31602,31201,384,1
125,668,31100,31200,700,1
126,550,31600,31201,494,1
127,952,31200,31600,943,0
128,790,31101,31200,637,1
129,1107,31110,31110,617,1
130,302,31202,31203,460,1
131,1072,31603,31502,663,1
132,382,31200,31201,700,1
133,1136,31401,31201,260,0
134,1545,31207,31104,806,1
135,1189,31100,31111,141,1
136,1389,31603,31107,776,1
137,146,31104,31106,656,1
138,1733,31200,31104,637,1
139,304,31201,31201,700,1
140,2325,31106,31200,723,0
141,2314,31106,31200,313,0
142,961,31205,31200,850,0
143,668,31201,31111,384,1
144,2467,31000,31007,679,0
145,827,31205,31200,619,0
146,487,31208,31108,864,1
147,1041,31100,31107,166,1
148,4532,31101,31203,263,0
149,1427,31603,31603,728,1
150,68,31111,31111,889,1
151,850,31111,31110,141,1
152,490,31110,31104,617,1
153,1035,31603,31603,819,1
154,1322,31201,31401,260,0
155,752,31005,31010,807,1
156,767,31005,31010,858,1
157,484,31104,31101,637,1
158,296,31400,31401,717,0
159,961,31201,31205,494,0
160,914,31201,31205,700,0
161,649,31107,31106,166,1
162,915,31200,31101,723,0
163,347,31104,31200,282,1
164,347,31104,31200,690,1
165,513,31600,31203,762,1
166,293,31202,31101,918,1
167,357,31111,31101,814,1
168,636,31110,31111,141,1
169,1669,31600,31105,943,1
170,988,31200,31200,313,1
171,365,31111,31203,889,1
172,2564,31111,31111,466,1
173,204,31106,31106,656,1
174,1186,31204,31110,351,1
175,3841,31108,31108,864,0
176,3728,31108,31108,805,0
177,278,31106,31104,656,1
178,148,31602,31602,639,1
179,433,31203,31600,240,1
180,1239,31103,31107,795,1
181,260,31101,31203,902,1
182,786,31010,31004,807,1
183,791,31010,31004,858,1
184,863,31011,31006,630,0
185,271,31007,31009,413,0
186,525,31012,31010,874,1
187,359,31103,31103,655,1
188,475,31205,31200,700,1
189,3722,31209,31007,917,1
190,384,31200,31203,313,1
191,1122,31401,31202,260,1
192,1620,31209,31203,41,1
193,1593,31209,31203,870,1
194,1088,31200,31207,619,1
195,507,31010,31011,874,1
196,491,31006,31011,630,0
197,629,31104,31207,617,1
198,378,31104,31105,656,0
199,544,31101,31207,637,1
200,1463,31203,31401,313,1
201,349,31400,31401,754,1
202,5854,31200,31205,700,0
203,5839,31200,31205,850,0
204,696,31401,31101,754,1
205,1593,31600,31201,240,1
206,1638,31206,31109,452,1
207,224,31200,31200,690,1
208,528,31004,31006,807,1
209,817,31006,31011,9,1
210,267,31602,31101,639,1
211,764,31002,31005,843,1
212,783,31001,31004,685,1
213,792,31101,31400,814,1
214,485,31207,31101,637,1
215,1191,31003,31003,667,0
216,489,31400,31101,696,1
217,503,31200,31204,690,1
218,6030,31101,31201,754,1
219,1366,31109,31206,452,1
220,996,31107,31100,795,0
221,585,31200,31205,282,1
222,473,31203,31100,889,1
223,620,31603,31203,728,1
224,418,31207,31101,617,1
225,480,31401,31101,607,1
226,656,31103,31200,655,1
227,896,31104,31204,904,0
228,369,31208,31108,686,1
229,254,31101,31203,637,1
230,3022,31600,31205,454,1
231,554,31007,31009,679,1
232,513,31103,31200,822,1
233,1758,31110,31100,170,0
234,591,31203,31600,870,1
235,327,31101,31203,768,1
236,133,31103,31103,47,1
237,191,31201,31202,905,1
238,309,31107,31104,817,1
239,712,31201,31205,899,1
240,2140,31110,31204,351,0
241,914,31105,31205,897,1
242,554,31111,31200,501,1
243,874,31111,31200,641,1
244,2274,31103,31206,47,1
245,392,31200,31100,822,1
246,969,31105,31600,943,1
247,480,31201,31200,240,1
248,267,31203,31200,263,1
249,465,31110,31203,421,1
250,451,31602,31105,715,1
251,298,31201,31101,754,1
252,1595,31105,31203,664,1
253,1208,31105,31203,278,1
254,1035,31205,31104,282,1
255,1714,31103,31100,644,0
256,759,31111,31200,836,1
